full_name,division,subdivision,conference_id,conference_name,reclass_year,reclass_division,reclass_subdivision,private,historically_black,region,state,simple_name,Latitude,Longitude
Arizona State University,1,FBS,905,Pac-12 Conference,,,,N,N,Unassigned,AZ,Arizona State,33.4231685,-111.9264972
Arkansas State University,1,FBS,818,Sun Belt Conference,,,,N,N,Unassigned,AR,Arkansas State,35.8430861,-90.67485889999999
"University of Arkansas, Fayetteville",1,FBS,911,Southeastern Conference,,,,N,N,Unassigned,AR,Arkansas,36.0686895,-94.1748471
Auburn University,1,FBS,911,Southeastern Conference,,,,N,N,Unassigned,AL,Auburn,32.5980549,-85.4942667
Ball State University,1,FBS,875,Mid-American Conference,,,,N,N,Unassigned,IN,Ball State,40.2024944,-85.40582409999999
Baylor University,1,FBS,25354,Big 12 Conference,,,,Y,N,Unassigned,TX,Baylor,31.5500848,-97.11354
Boise State University,1,FBS,5486,Mountain West Conference,,,,N,N,West Region,ID,Boise State,43.6023364,-116.2009765
Boston College,1,FBS,821,Atlantic Coast Conference,,,,Y,N,Unassigned,MA,Boston University,42.3355488,-71.16849450000001
Bowling Green State University,1,FBS,875,Mid-American Conference,,,,N,N,Unassigned,OH,Bowling Green,41.3798424,-83.63009749999999
Brigham Young University,1,FBS,25354,Big 12 Conference,,,,Y,N,Unassigned,UT,Brigham Young,40.2518435,-111.6493156
"University at Buffalo, the State University of New York",1,FBS,875,Mid-American Conference,,,,N,N,Unassigned,NY,Buffalo,43.0008093,-78.7889697
"California State University, Fresno",1,FBS,5486,Mountain West Conference,,,,N,N,Unassigned,CA,Fresno State,36.8136777,-119.7461767
"University of California, Berkeley",1,FBS,905,Pac-12 Conference,,,,N,N,West Region,CA,California,37.87015100000001,-122.2594606
"University of California, Los Angeles",1,FBS,905,Pac-12 Conference,,,,N,N,Unassigned,CA,UCLA,34.0699182,-118.4438495
University of Central Florida,1,FBS,25354,Big 12 Conference,,,,N,N,Unassigned,FL,Central Florida,28.6024274,-81.2000599
Central Michigan University,1,FBS,875,Mid-American Conference,,,,N,N,Unassigned,MI,Central Michigan,43.5822124,-84.77625739999999
University of Cincinnati,1,FBS,25354,Big 12 Conference,,,,N,N,Unassigned,OH,Cincinnati,39.1329219,-84.51495039999999
Clemson University,1,FBS,821,Atlantic Coast Conference,,,,N,N,Unassigned,SC,Clemson,34.673407,-82.8367119
Coastal Carolina University,1,FBS,818,Sun Belt Conference,,,,N,N,South Region,SC,Coastal Carolina,33.79611939999999,-79.0136958
"University of Colorado, Boulder",1,FBS,905,Pac-12 Conference,,,,N,N,Unassigned,CO,Colorado,40.0073499,-105.2659871
Colorado State University,1,FBS,5486,Mountain West Conference,,,,N,N,Unassigned,CO,Colorado State,40.5729432,-105.0848391
University of Connecticut,1,FBS,0,Independent,,,,N,N,Unassigned,CT,Connecticut,41.8077414,-72.2539805
Duke University,1,FBS,821,Atlantic Coast Conference,,,,Y,N,Unassigned,NC,Duke,36.0014258,-78.9382286
East Carolina University,1,FBS,823,American Athletic Conference,,,,N,N,Unassigned,NC,East Carolina,35.6068806,-77.3665364
Eastern Michigan University,1,FBS,875,Mid-American Conference,,,,N,N,Unassigned,MI,Eastern Michigan,42.2506803,-83.624089
University of Florida,1,FBS,911,Southeastern Conference,,,,N,N,Unassigned,FL,Florida,29.6465428,-82.3533266
Florida Atlantic University,1,FBS,823,American Athletic Conference,,,,N,N,South Region,FL,Florida Atlantic,26.3737473,-80.10190229999999
Florida International University,1,FBS,24312,Conference USA,,,,N,N,South Region,FL,Florida International,25.7562465,-80.3755401
Florida State University,1,FBS,821,Atlantic Coast Conference,,,,N,N,Unassigned,FL,Florida State,30.4418778,-84.2984889
University of Georgia,1,FBS,911,Southeastern Conference,,,,N,N,Unassigned,GA,Georgia,33.9566656,-83.375192
Georgia Institute of Technology,1,FBS,821,Atlantic Coast Conference,,,,N,N,Unassigned,GA,Georgia Tech,33.7756178,-84.39628499999999
Georgia Southern University,1,FBS,818,Sun Belt Conference,,,,N,N,Unassigned,GA,Georgia Southern,32.4206845,-81.7869734
Georgia State University,1,FBS,818,Sun Belt Conference,,,,N,N,South Region,GA,Georgia State,33.753068,-84.38528190000001
"University of Hawaii, Manoa",1,FBS,5486,Mountain West Conference,,,,N,N,Unassigned,HI,Hawaii,21.299824,-157.8148228
University of Houston,1,FBS,25354,Big 12 Conference,,,,N,N,Unassigned,TX,Houston,29.7199489,-95.3422334
University of Illinois Urbana-Champaign,1,FBS,827,Big Ten Conference,,,,N,N,Unassigned,IL,Illinois,40.1019523,-88.2271615
"Indiana University, Bloomington",1,FBS,827,Big Ten Conference,,,,N,N,Unassigned,IN,Indiana,39.1682449,-86.52300729999999
University of Iowa,1,FBS,827,Big Ten Conference,,,,N,N,Unassigned,IA,Iowa,41.66270780000001,-91.5549771
Iowa State University,1,FBS,25354,Big 12 Conference,,,,N,N,Unassigned,IA,Iowa State,42.0266573,-93.64645159999999
Jacksonville State University,1,FBS,24312,Conference USA,,,,N,N,South Region,AL,Jacksonville State,33.8230953,-85.7681921
James Madison University,1,FBS,818,Sun Belt Conference,,,,N,N,East Region,VA,James Madison,38.435092,-78.8697548
University of Kansas,1,FBS,25354,Big 12 Conference,,,,N,N,Unassigned,KS,Kansas,38.9543439,-95.2557961
Kansas State University,1,FBS,25354,Big 12 Conference,,,,N,N,Unassigned,KS,Kansas State,39.1974437,-96.5847249
Kent State University,1,FBS,875,Mid-American Conference,,,,N,N,Unassigned,OH,Kent State,41.1497945,-81.34331590000001
University of Kentucky,1,FBS,911,Southeastern Conference,,,,N,N,Unassigned,KY,Kentucky,38.0306511,-84.5039697
Liberty University,1,FBS,24312,Conference USA,2018.0,1.0,1.0,Y,N,South Region,VA,Liberty,37.3492244,-79.17841229999999
Louisiana State University,1,FBS,911,Southeastern Conference,,,,N,N,Unassigned,LA,Louisiana State,30.4132579,-91.1800023
Louisiana Tech University,1,FBS,24312,Conference USA,,,,N,N,Unassigned,LA,Louisiana Tech,32.5299582,-92.6522174
University of Louisiana at Lafayette,1,FBS,818,Sun Belt Conference,,,,N,N,Unassigned,LA,Lafayette,30.211991,-92.019914
University of Louisiana Monroe,1,FBS,818,Sun Belt Conference,,,,N,N,West Region,LA,Louisiana Monroe,32.5313471,-92.068744
University of Louisville,1,FBS,821,Atlantic Coast Conference,,,,N,N,Unassigned,KY,Louisville,38.2122761,-85.75850229999999
Marshall University,1,FBS,818,Sun Belt Conference,,,,N,N,Unassigned,WV,Marshall,38.4236597,-82.42471979999999
"University of Maryland, College Park",1,FBS,827,Big Ten Conference,,,,N,N,Unassigned,MD,Maryland,38.9869183,-76.9425543
"University of Massachusetts, Amherst",1,FBS,0,Independent,,,,N,N,East Region,MA,Massachusetts,42.3867598,-72.5300515
University of Memphis,1,FBS,823,American Athletic Conference,,,,N,N,Unassigned,TN,Memphis,35.1187498,-89.9374928
