Institution,Nickname,Location,Founded,Joined,Left,Enrollment,Conference
Davidson College,Wildcats,"Davidson, North Carolina",1837,2014,,1843,A-10
University of Dayton,Flyers,"Dayton, Ohio",1850,1995,,11241,A-10
Duquesne University,Dukes,"Pittsburgh, Pennsylvania",1878,1976,,9274,A-10
Fordham University,Rams,"New York, New York",1841,1995,,16515,A-10
George Mason University,Patriots,"Fairfax, Virginia",1957,2013,,35047,A-10
George Washington University,Revolutionaries,"Washington, D.C.",1821,1976,,28172,A-10
La Salle University,Explorers,"Philadelphia, Pennsylvania",1863,1995,,5191,A-10
Loyola University Chicago,Ramblers,"Chicago, Illinois",1870,2022,,"16,437[4]",A-10
University of Massachusetts Amherst,Minutemen and Minutewomen,"Amherst, Massachusetts",1863,1976,,30593,A-10
University of Rhode Island,Rams,"Kingston, Rhode Island",1892,1980,,16883,A-10
University of Richmond,Spiders,"Richmond, Virginia",1840,2001,,4002,A-10
St. Bonaventure University,Bonnies,"St. Bonaventure, New York",1858,1979,,2381,A-10
Saint Joseph's University,Hawks,"Philadelphia, Pennsylvania",1851,1982,,7589,A-10
Saint Louis University,Billikens,"St. Louis, Missouri",1818,2005,,12883,A-10
Virginia Commonwealth University,Rams,"Richmond, Virginia",1838,2012,,31076,A-10
Butler University,Bulldogs,"Indianapolis, Indiana",1855,2012,2013,4667,A-10
University of North Carolina at Charlotte,49ers,"Charlotte, North Carolina",1946,2005,2013,26232,A-10
University of Pittsburgh,Panthers,"Pittsburgh, Pennsylvania",1787,1976,1982,28766,A-10
Rutgers University,Scarlet Knights,"New Brunswick, New Jersey",1766,1976,1995,58788,A-10
Temple University,Owls,"Philadelphia, Pennsylvania",1884,1982,2013,38648,A-10
Villanova University,Wildcats,"Villanova, Pennsylvania",1842,1976,1980,10482,A-10
Virginia Tech,Hokies,"Blacksburg, Virginia",1872,1995,2000,31087,A-10
West Virginia University,Mountaineers,"Morgantown, West Virginia",1867,1976,1995,29707,A-10
Xavier University,Musketeers,"Cincinnati, Ohio",1831,1995,2013,6650,A-10
Boston University,Terriers,"Boston, Massachusetts",1839,1973,1997,29978,A-10
University of Connecticut,Huskies,"Storrs, Connecticut",1881,1947,1999,25583,A-10
University of Delaware,Fightin' Blue Hens,"Newark, Delaware",1743,1986,2006,19391,A-10
Hofstra University,Pride,"Hempstead, New York",1935,2001,2006,12400,A-10
James Madison University,Dukes,"Harrisonburg, Virginia",1908,1993,2006,19927,A-10
University of Maine,Black Bears,"Orono, Maine",1865,1947,2006,10901,A-10
University of New Hampshire,Wildcats,"Durham, New Hampshire",1866,1947,2006,11942,A-10
Northeastern University,Huskies,"Boston, Massachusetts",1898,1993,2006,12913,A-10
Towson University,Tigers,"Towson, Maryland",1866,2004,2006,21950,A-10
Villanova University,Wildcats,"Villanova, Pennsylvania",1842,1988,2006,10482,A-10
The College of William & Mary,Tribe,"Williamsburg, Virginia",1693,1993,2006,8258,A-10
Pennsylvania State University,Nittany Lions,"University Park, Pennsylvania",1855,1982,1991,46810,A-10
Pennsylvania State University,Nittany Lions,"University Park, Pennsylvania",1855,1976,1979,46810,A-10
Austin Peay State University,Governors,"Clarksville, Tennessee",1927,2022,,10344,ASUN
Bellarmine University,Knights,"Louisville, Kentucky",1950,2022,,3369,ASUN
University of Central Arkansas,Bears & Sugar Bears,"Conway, Arkansas",1907,2022,,10869,ASUN
Eastern Kentucky University,Colonels,"Richmond, Kentucky",1874,2022,,16959,ASUN
Florida Gulf Coast University,Eagles,"Fort Myers, Florida[b]",1997,2022,,15076,ASUN
Jacksonville University,Dolphins,"Jacksonville, Florida",1934,2022,,4213,ASUN
Kennesaw State University,Owls,"Kennesaw, Georgia",1963,2022,,41181,ASUN
Lipscomb University,Bisons,"Nashville, Tennessee",1891,2022,,4620,ASUN
University of North Alabama,Lions,"Florence, Alabama",1830,2022,,7650,ASUN
University of North Florida,Ospreys,"Jacksonville, Florida",1969,2022,,16309,ASUN
Queens University of Charlotte,Royals,"Charlotte, North Carolina",1857,2022,,2463,ASUN
Stetson University,Hatters,"DeLand, Florida",1883,2022,,4330,ASUN
Alabama Christian College /Faulkner University,Eagles,"Montgomery, Alabama",1942,1981,1997,,Southern States Conference
Alabama College /University of Montevallo,Falcons,"Montevallo, Alabama",1896,1960,1995,,Southern States Conference
University of Alabama in Huntsville,Chargers,"Huntsville, Alabama",1950,1973,1993,,Southern States Conference
Athens College,Bears,"Athens, Alabama",1822,1948,1997,,Southern States Conference
Auburn University at Montgomery,Warhawks,"Montgomery, Alabama",1967,1975,1997,,Southern States Conference
Belhaven College,Blazers,"Jackson, Mississippi",1883,1974,1981,,Southern States Conference
Birmingham–Southern College,Panthers,"Birmingham, Alabama",1856,1977,1996,,Southern States Conference
Columbus College,Cougars,"Columbus, Georgia",1958,1972,1973,,Southern States Conference
Eldridge Baptist Academy /Eldridge Junior College,,"Eldridge, Alabama",1890,1939,1940,,Southern States Conference
Florence State Teachers College /University of North Alabama,Lions,"Florence, Alabama",1830,1949,1971,,Southern States Conference
Huntingdon College,Hawks,"Montgomery, Alabama",1854,1960,1995,,Southern States Conference
Jacksonville State Teachers College /Jacksonville State College /Jacksonville State University,Gamecocks,"Jacksonville, Alabama",1883,1938,1970,,Southern States Conference
Life College,Running Eagles,"Marietta, Georgia",1974,1996,1997,,Southern States Conference
Livingston State Teachers College /Livingston State College,Tigers,"Livingston, Alabama",1835,1938,1970,,Southern States Conference
Marion Military Institute,Tigers,"Marion, Alabama",1842,1938,1956,,Southern States Conference
Saint Bernard College /Southern Benedictine College,Saints,"Cullman, Alabama",1929,1938,1979,,Southern States Conference
Selma University,Bulldogs,"Selma, Alabama",1878,,1997,,Southern States Conference
Snead State Junior College,Parsons,"Boaz, Alabama",1898,1938,1956,,Southern States Conference
Southern Union Junior College,Bison,"Wadley, Alabama",1922,1940,1956,,Southern States Conference
Spring Hill College,Badgers,"Mobile, Alabama",1830,1942,1981,,Southern States Conference
Talladega College,Tornadoes,"Talladega, Alabama",1867,1982,1997,,Southern States Conference
Thomas College,Night Hawks,"Thomasville, Georgia",1950,1996,1997,,Southern States Conference
Troy State Teachers College /Troy State College /Troy State University,Trojans,"Troy, Alabama",1887,1938,1972,,Southern States Conference
William Carey College,Crusaders,"Hattiesburg, Mississippi",1892,1972,1981,,Southern States Conference
University of West Florida,Argonauts,"Pensacola, Florida",1963,1975,1994,,Southern States Conference
Oklahoma Baptist University,Bison,"Shawnee, Oklahoma",1910,1929,1932,,Big 4 Conference
Oklahoma City University,Goldbugs,"Oklahoma City, Oklahoma",1904,1929,1932,,Big 4 Conference
Phillips University,Haymakers,"Enid, Oklahoma",1906,1929,1932,,Big 4 Conference
University of Tulsa,Tulsa Golden Hurricane,"Tulsa, Oklahoma",1894,1929,1932,,Big 4 Conference
Eastern Washington University,Eagles,"Cheney, Washington",1882,1987,,12607,
Idaho State University,Bengals,"Pocatello, Idaho",1901,1963,,12805,
University of Montana,Grizzlies[b],"Missoula, Montana",1893,1963,,10104,
Montana State University,Bobcats,"Bozeman, Montana",1893,1963,,16766,
Northern Arizona University,Lumberjacks,"Flagstaff, Arizona",1899,1970,,22791,
University of Northern Colorado,Bears,"Greeley, Colorado",1889,2006,,12862,
Portland State University,Vikings,"Portland, Oregon",1946,1996,,27285,
"California State University, Sacramento",Hornets,"Sacramento, California",1947,1996,,31181,
Weber State University,Wildcats,"Ogden, Utah",1889,1963,,27465,
Boise State University,Broncos,"Boise, Idaho",1932,1970,1996.0,26155,
"California State University, Northridge",Matadors,"Northridge, California",1958,1996,2001.0,38511,
Gonzaga University,Bulldogs,"Spokane, Washington",1887,1963,1979.0,7421,
University of Nevada,Wolf Pack,"Reno, Nevada",1874,1979,1992.0,21034,
University of North Dakota,Fighting Hawks,"Grand Forks, North Dakota",1883,2012,2018.0,13772,
Southern Utah University,Thunderbirds,"Cedar City, Utah",1897,2012,2022.0,14330,
University of Idaho,Vandals,"Moscow, Idaho",1889,1963,1996.0,11926,Big Sky
University of Idaho,Vandals,"Moscow, Idaho",1889,2018,,11926,Big Sky
Charleston Southern University,Buccaneers,"North Charleston, South Carolina",1964,1983,,3414.0,Big South
Gardner–Webb University,Runnin' Bulldogs,"Boiling Springs, North Carolina",1905,2008,,3594.0,Big South
High Point University,Panthers,"High Point, North Carolina",1924,1999,,4545.0,Big South
Longwood University,Lancers,"Farmville, Virginia",1839,2012,,4470.0,Big South
Presbyterian College,Blue Hose,"Clinton, South Carolina",1880,2007,,1330.0,Big South
Radford University,Highlanders,"Radford, Virginia",1910,1983,,10700.0,Big South
University of North Carolina at Asheville,Bulldogs,"Asheville, North Carolina",1927,1984,,3762.0,Big South
University of South Carolina Upstate,Spartans,"Spartanburg, South Carolina",1967,2018,,6000.0,Big South
Winthrop University,Eagles,"Rock Hill, South Carolina",1886,1983,,6073.0,Big South
Armstrong State University,Pirates,"Savannah, Georgia",1935,1983,1987.0,,Big South
Augusta University[b],Jaguars,"Augusta, Georgia",1785,1983,1990.0,,Big South
Birmingham–Southern College,Panthers,"Birmingham, Alabama",1856,2000,2007.0,,Big South
Coastal Carolina University,Chanticleers,"Conway, South Carolina",1954,1983,2016.0,,Big South
Davidson College,Wildcats,"Davidson, North Carolina",1837,1990,1992.0,,Big South
Elon University,Phoenix,"Elon, North Carolina",1889,1999,2003.0,,Big South
Hampton University,Pirates,"Hampton, Virginia",1868,2018,2022.0,,Big South
Liberty University,Flames and Lady Flames,"Lynchburg, Virginia",1971,1991,2018.0,,Big South
"University of Maryland, Baltimore County",Retrievers,"Catonsville, Maryland",1966,1992,1998.0,,Big South
North Carolina A&T State University,Aggies,"Greensboro, North Carolina",1891,2021,2022.0,,Big South
University of North Carolina at Greensboro,Spartans,"Greensboro, North Carolina",1891,1992,1997.0,,Big South
Towson University,Tigers,"Towson, Maryland",1866,1992,1995.0,,Big South
Virginia Military Institute,Keydets,"Lexington, Virginia",1839,2003,2014.0,,Big South
Campbell University,Fighting Camels,"Buies Creek, North Carolina",1887,1983,1994.0,6448.0,Big South
Campbell University,Fighting Camels,"Buies Creek, North Carolina",1887,1983,1994.0,6448.0,Big South
California Polytechnic State University(Cal Poly San Luis Obispo),Mustangs,"San Luis Obispo, California",1901,1996,2000,22287,Big West
"California State University, Bakersfield(Cal State Bakersfield)",Roadrunners,"Bakersfield, California",1965,2020,2000,9261,Big West
"California State University, Fullerton(Cal State Fullerton)",Titans,"Fullerton, California",1957,1974,2000,38726,Big West
"California State University, Northridge(Cal State Northridge)",Matadors,"Northridge, California[c]",1958,2001,2000,38511,Big West
University of Hawaiʻi at Mānoa(Hawaiʻi),Rainbow Warriors& Rainbow Wahine[e],"Honolulu, Hawaii",1907,2012,2000,19074,Big West
"California State University, Long Beach(Long Beach State)",Beach[f],"Long Beach, California",1949,1969,2000,39360,Big West
"University of California, Davis(UC Davis)",Aggies,"Davis, California",1905,2007,2000,40772,Big West
"University of California, Irvine(UC Irvine)",Anteaters,"Irvine, California",1965,1977,2000,37243,Big West
"University of California, Riverside(UC Riverside)",Highlanders,"Riverside, California",1954,2001,2000,26809,Big West
"University of California, San Diego(UC San Diego)[g]",Tritons,"La Jolla, California[h]",1960,2020,2000,42968,Big West
Boise State University,Broncos,"Boise, Idaho",1932,1996,2000,22678,Big West
"California State University, Fresno(Fresno State)",Bulldogs,"Fresno, California",1911,1969,1992,22565,Big West
"California State University, Los Angeles(Cal State L.A.)",Golden Eagles,"Los Angeles, California",1947,1969,1974,20619,Big West
University of Idaho,Vandals,"Moscow, Idaho",1889,1996,2000,11180,Big West
"University of Nevada, Las Vegas(UNLV)",Rebels,"Las Vegas, Nevada[a]",1957,1982,1996,28203,Big West
"University of Nevada, Reno",Wolf Pack,"Reno, Nevada",1874,1992,2000,18227,Big West
New Mexico State University,Aggies,"Las Cruces, New Mexico",1888,1983,2000,18497,Big West
University of North Texas,Mean Green,"Denton, Texas",1890,1996,2000,35778,Big West
San Diego State University,Aztecs,"San Diego, California",1897,1969,1978,28789,Big West
San Jose State University,Spartans,"San Jose, California",1857,1969,1996,32697,Big West
Utah State University,Aggies,"Logan, Utah",1888,1978,2000,28796,Big West
University of the Pacific,Tigers,"Stockton, California",1851,1969,2000,6296,Big West
Arkansas State University,Indians[a],"Jonesboro, Arkansas",1909,1993,1995,13438,Big West
Louisiana Tech University,Bulldogs,"Ruston, Louisiana",1894,1993,1995,11581,Big West
Northern Illinois University,Huskies,"DeKalb, Illinois",1895,1993,1995,25313,Big West
University of Southwestern Louisiana[d],Ragin' Cajuns,"Lafayette, Louisiana",1898,1993,1996,19188,Big West
"University of California, Santa Barbara",Gauchos,"Santa Barbara, California",1909,1969,1973,25057,Big West
"University of California, Santa Barbara",Gauchos,"Santa Barbara, California",1909,1976,2000,25057,Big West
University at Albany,Great Danes,"Albany, New York",1844,2013,,17944,CAA
Campbell University,Fighting Camels,"Buies Creek, North Carolina",1887,2023,,5622,CAA
University of Delaware,Fightin' Blue Hens,"Newark, Delaware",1743,2007,,23281,CAA
Elon University,Phoenix,"Elon, North Carolina",1889,2014,,6991,CAA
Hampton University,Pirates,"Hampton, Virginia",1868,2022,,3516,CAA
University of Maine,Black Bears,"Orono, Maine",1865,2007,,11404,CAA
Monmouth University,Hawks,"West Long Branch, New Jersey",1933,2022,,5675,CAA
University of New Hampshire,Wildcats,"Durham, New Hampshire",1866,2007,,15305,CAA
North Carolina A&T State University,Aggies,"Greensboro, North Carolina",1891,2023,,13332,CAA
Towson University,Tigers,"Towson, Maryland",1866,2007,,22923,CAA
University of Rhode Island,Rams,"Kingston, Rhode Island",1892,2007,,16883,CAA
University of Richmond,Spiders,"Richmond, Virginia",1830,2007,,4002,CAA
Stony Brook University,Seawolves,"Stony Brook, New York",1957,2013,,26782,CAA
Villanova University,Wildcats,"Villanova, Pennsylvania",1842,2007,,11023,CAA
College of William & Mary,Tribe,"Williamsburg, Virginia",1693,2007,,8817,CAA
Hofstra University,Pride,"Hempstead, New York",1935,2007,2009.0,10871,CAA
Georgia State University,Panthers,"Atlanta, Georgia",1913,2012,2013.0,32082,CAA
James Madison University,Dukes,"Harrisonburg, Virginia",1908,2007,2022.0,21227,CAA
University of Massachusetts,Minutemen,"Amherst, Massachusetts",1863,2007,2012.0,28635,CAA
Northeastern University,Huskies,"Boston, Massachusetts",1898,2007,2009.0,21627,CAA
Old Dominion University,Monarchs,"Norfolk, Virginia",1930,2011,2013.0,24932,CAA
"California State Polytechnic University, Humboldt",Lumberjacks,Arcata,1913,2006,,,CCAA
"California State Polytechnic University, Pomona",Broncos,Pomona,1938,1967,,,CCAA
California State - Chico,Wildcats,Chico,1887,1998,,,CCAA
California State - Dominguez Hills,Toros,Carson,1960,1980,,,CCAA
California State - East Bay,Pioneers,Hayward,1957,2009,,,CCAA
California State - Monterey Bay,Otters,Seaside,1994,2004,,,CCAA
California State - San Bernardino,Coyotes,San Bernardino,1965,1991,,,CCAA
California State University San Marcos,Cougars,San Marcos,1989,2015,,,CCAA
California State - Stanislaus,Warriors,Turlock,1957,1998,,,CCAA
San Francisco State University,Gators,San Francisco,1899,1998,,,CCAA
Sonoma State University,Seawolves,Rohnert Park,1960,1998,,,CCAA
California Polytechnic State University,Mustangs,San Luis Obispo,1901,1945,1994.0,21306.0,CCAA
California State - Bakersfield,Roadrunners,Bakersfield,1965,1972,2007.0,8720.0,CCAA
California State - Fresno,Bulldogs,Fresno,1911,1939,1969.0,25341.0,CCAA
California State - Fullerton,Titans,Fullerton,1957,1967,1974.0,40235.0,CCAA
California State - Long Beach,49ers[d],Long Beach,1949,1956,1969.0,37776.0,CCAA
California State - Northridge,Matadors,Northridge,1958,1961,1990.0,39916.0,CCAA
"University of California, Davis",Aggies,Davis,1905,1998,2004.0,36441.0,CCAA
"University of California, Riverside",Highlanders,Riverside,1954,1969,2000.0,22921.0,CCAA
"University of California, San Diego",Tritons,La Jolla,1960,2000,2020.0,33735.0,CCAA
"University of California, Santa Barbara",Gauchos,Santa Barbara,1891,1939,1969.0,24346.0,CCAA
Chapman University,Panthers,Orange,1861,1978,1993.0,10001.0,CCAA
Grand Canyon University,Antelopes,Phoenix(Arizona),1949,1994,2004.0,25000.0,CCAA
University of the Pacific,Tigers,Stockton,1851,1946,1949.0,6652.0,CCAA
Pepperdine University,Waves,Malibu,1937,1945,1954.0,6000.0,CCAA
San Diego State University,Aztecs,San Diego,1897,1939,1969.0,35578.0,CCAA
San Jose State University,Spartans,San Jose,1857,1939,1950.0,33025.0,CCAA
California State - Los Angeles,Golden Eagles,"Los Angeles, California",1947,1963,1968.0,27959.0,CCAA
California State - Los Angeles,Golden Eagles,"Los Angeles, California",1947,1974,,27959.0,CCAA
Barton College,Bulldogs,"Wilson, North Carolina",1902,1930,,1213,Carolinas Conference
Belmont Abbey College,Crusaders,"Belmont, North Carolina",1876,1989,,1517,Carolinas Conference
Chowan University,Hawks,"Murfreesboro, North Carolina",1848,2019,,981,Carolinas Conference
Converse University,Valkyries,"Spartanburg, South Carolina",1889,2007,,1377,Carolinas Conference
Emmanuel University,Lions,"Franklin Springs, Georgia",1919,2014,,861,Carolinas Conference
Erskine College,Flying Fleet,"Due West, South Carolina",1839,1995,,825,Carolinas Conference
Francis Marion University,Patriots,"Florence, South Carolina",1970,2021,,3923,Carolinas Conference
King University,Tornado,"Bristol, Tennessee",1867,2011,,1658,Carolinas Conference
Lees–McRae College,Bobcats,"Banner Elk, North Carolina",1899,1993,,873,Carolinas Conference
University of Mount Olive,Trojans,"Mount Olive, North Carolina",1951,1988,,2273,Carolinas Conference
North Greenville University,Crusaders,"Tigerville, South Carolina",1891,2011,,2273,Carolinas Conference
Southern Wesleyan University,Warriors,"Central, South Carolina",1908,2014,,1345,Carolinas Conference
University of North Carolina at Pembroke,Braves,"Pembroke, North Carolina",1887,,,8318,Carolinas Conference
Young Harris College,Mountain Lions,"Young Harris, Georgia",1886,2023,,1408,Carolinas Conference
Anderson University,Trojans,"Anderson, South Carolina",1911,1998,2010,4008,Carolinas Conference
Appalachian State University,Mountaineers,"Boone, North Carolina",1899,1930,1968,20641,Carolinas Conference
Catawba College,Indians,"Salisbury, North Carolina",1851,1930,1989,1207,Carolinas Conference
Coker College[c],Cobras,"Hartsville, South Carolina",1908,1991,2013,1087,Carolinas Conference
East Carolina College[d],Pirates,"Greenville, North Carolina",1907,1947,1962,28021,Carolinas Conference
Elon College[e],Phoenix,"Elon, North Carolina",1889,1930,1989,7127,Carolinas Conference
Guilford College,Quakers,"Greensboro, North Carolina",1837,1930,1988,1198,Carolinas Conference
High Point University,Panthers,"High Point, North Carolina",1924,1930,1997,5860,Carolinas Conference
Limestone College[i],Saints,"Gaffney, South Carolina",1845,1998,2020,1840,Carolinas Conference
Longwood University,Lancers,"Farmville, Virginia",1839,1995,2003,4612,Carolinas Conference
Mars Hill College[j],Lions,"Mars Hill, North Carolina",1856,1972,1976,1072,Carolinas Conference
Newberry College,Wolves,"Newberry, South Carolina",1856,1961,1972,1242,Carolinas Conference
Pfeiffer University,Falcons,"Misenheimer, North Carolina",1885,1960,2017,1185,Carolinas Conference
Presbyterian College,Blue Hose,"Clinton, South Carolina",1880,1964,1972,1231,Carolinas Conference
Queens University of Charlotte,Royals,"Charlotte, North Carolina",1857,1995,2013,2063,Carolinas Conference
St. Andrews University,Knights,"Laurinburg, North Carolina",1958,1988,2012,887,Carolinas Conference
Western Carolina University,Catamounts,"Cullowhee, North Carolina",1889,1933,1969,11877,Carolinas Conference
Wingate College[n],Bulldogs,"Wingate, North Carolina",1896,1979,1989,3440,Carolinas Conference
Birmingham-Southern College,Panthers,"Birmingham, Alabama",1856,1930,1942,1300,Dixie
Samford University,Bulldogs,"Homewood, Alabama",1841,1930,1942,5692,Dixie
Rhodes College,Lynx,"Memphis, Tennessee",1848,1930,1942,2000,Dixie
University of Tennessee at Chattanooga,Mocs,"Chattanooga, Tennessee",1886,1930,1942,11561,Dixie
Spring Hill College,Badgers,"Mobile, Alabama",1830,1930,1942,1500,Dixie
Mercer University,Bears,"Macon, Georgia",1833,1930,1942,8600,Dixie
Loyola University New Orleans,Wolf Pack,"New Orleans, Louisiana",1912,1932,1942,4261,Dixie
Florida State University,Seminoles,"Tallahassee, Florida",1851,1948,1950,41867,Dixie
Howard College,Bulldogs,"Homewood, Alabama",1841,1948,1949,5692,Dixie
Stetson University,Hatters,"DeLand, Florida",1883,1948,1949,4378,Dixie
University of Tampa,Spartans,"Tampa, Florida",1931,1948,1949,9269,Dixie
Florida Southern College,Moccasins,"Lakeland, Florida",1883,1949,1954,3000,Dixie
Lambuth College,Eagles,"Jackson, Tennessee",1843,1948,1949,1000,Dixie
Mercer University,Bears,"Macon, Georgia",1833,1948,1954,8600,Dixie
Oglethorpe University,Stormy Petrels,"Brookhaven, Georgia",1835,1948,1954,1200,Dixie
Millsaps College,Majors,"Jackson, Mississippi",1890,1948,1954,1100,Dixie
University of Houston,Cougars,"Houston, Texas",,1949,1950,,Gulf Coast Conference
Midwestern State University,Mustangs,"Wichita Falls, Texas",,1949,1957,,Gulf Coast Conference
University of North Texas,Mean Green,"Denton, Texas",,1949,1957,,Gulf Coast Conference
Trinity University,Tigers,"San Antonio, Texas",,1949,1957,,Gulf Coast Conference
Abilene Christian University,Wildcats,"Abilene, Texas",,1954,1957,,Gulf Coast Conference
Hardin-Simmons University,Cowboys,"Abilene, Texas",,1956,1957,,Gulf Coast Conference
Arkansas Tech University,Wonder Boys &Golden Suns,"Russellville, Arkansas",1909,1995,2011,12009,Mid-South Conference
University of Arkansas at Monticello,Boll Weevils &Cotton Blossoms,"Monticello, Arkansas",1910,1995,2011,3659,Mid-South Conference
University of Central Arkansas,Bears &Sugar Bears,"Conway, Arkansas",1907,1993,2006,10869,Mid-South Conference
Harding University[b],Bisons &Lady Bisons,"Searcy, Arkansas",1924,2000,2011,6009,Mid-South Conference
Henderson State University,Reddies,"Arkadelphia, Arkansas",1890,1993,2011,3530,Mid-South Conference
Jacksonville State University,Gamecocks,"Jacksonville, Alabama",1883,1970,1993,9238,Mid-South Conference
Lincoln Memorial University,Railsplitters,"Harrogate, Tennessee",1897,1992,2006,4867,Mid-South Conference
Mississippi University for Women,Blues[c],"Columbus, Mississippi",1884,1993,2003,2479,Mid-South Conference
University of New Orleans[e],Privateers,"New Orleans, Louisiana",1958,2011,2012,8511,Mid-South Conference
Nicholls State University,Colonels,"Thibodaux, Louisiana",1948,1971,1979,6366,Mid-South Conference
University of North Alabama,Lions,"Florence, Alabama",1830,1971,2018,7650,Mid-South Conference
Northwestern State University,Demons,"Natchitoches, Louisiana",1884,1971,1975,10979,Mid-South Conference
Ouachita Baptist University[b],Tigers,"Arkadelphia, Arkansas",1886,2000,2011,1569,Mid-South Conference
Southeastern Louisiana University,Lions,"Hammond, Louisiana",1925,1971,1979,14327,Mid-South Conference
Southern Arkansas University,Muleriders,"Magnolia, Arkansas",1909,1995,2011,4138,Mid-South Conference
University of Tennessee at Martin,Skyhawks,"Martin, Tennessee",1927,1970,1991,6705,Mid-South Conference
Troy State University,Trojans,"Troy, Alabama",1887,1970,1991,17494,Mid-South Conference
Nicholls State University[2],Colonels,"Thibodaux, Louisiana",1948,1984,1987,,Gulf Star Conference
Northwestern State University,Demons,"Natchitoches, Louisiana",1884,1984,1987,,Gulf Star Conference
Sam Houston State University,Bearkats,"Huntsville, Texas",1879,1984,1987,,Gulf Star Conference
Southeastern Louisiana University,Lions,"Hammond, Louisiana",1925,1984,1987,,Gulf Star Conference
Southwest Texas State University[a],Bobcats,"San Marcos, Texas",1899,1984,1987,,Gulf Star Conference
Stephen F. Austin State University,Lumberjacks &Ladyjacks,"Nacogdoches, Texas",1921,1984,1987,,Gulf Star Conference
Ball State University,Cardinals,"Muncie, Indiana",1918,1950,1968,22513,Indiana Collegiate Conference
Butler University,Bulldogs,"Indianapolis, Indiana",1855,1950,1978,4685,Indiana Collegiate Conference
University of Evansville,Purple Aces,"Evansville, Indiana",1854,1950,1978,2483,Indiana Collegiate Conference
Indiana State University,Sycamores,"Terre Haute, Indiana",1865,1950,1968,13044,Indiana Collegiate Conference
Saint Josephs College,Pumas,"Rensselaer, Indiana",1889,1950,1978,1100,Indiana Collegiate Conference
Valparaiso University,Crusaders,"Valparaiso, Indiana",1859,1950,1978,4500,Indiana Collegiate Conference
DePauw University,Tigers,"Greencastle, Indiana",1837,1953,1977,2300,Indiana Collegiate Conference
University of Indianapolis,Greyhounds,"Indianapolis, Indiana",1902,1970,1978,5500,Indiana Collegiate Conference
Wabash College,Little Giants,"Crawfordsville, Indiana",1832,1970,1976,900,Indiana Collegiate Conference
Butler University,Bulldogs,"Indianapolis, Indiana",,1890,1894,,Indiana IAA
DePauw University,Tigers,"Greencastle, Indiana",,1890,1894,,Indiana IAA
Franklin College,Grizzlies,"Franklin, Indiana",,1890,1894,,Indiana IAA
Hanover College,Panthers,"Hanover, Indiana",,1890,1894,,Indiana IAA
Indiana University,Hoosiers,"Bloomington, Indiana",,1890,1894,,Indiana IAA
Purdue University,Boilermakers,"West Lafayette, Indiana",,1890,1894,,Indiana IAA
Wabash College,Little Giants,"Crawfordsville, Indiana",,1890,1894,,Indiana IAA
Rose Polytechnic Institute,Engineers,"Terre Haute, Indiana",,1890,1894,,Indiana IAA
Central Michigan University,Chippewas,"Mount Pleasant, Michigan",1892,1950,1969,21705.0,IIAC
Eastern Illinois University,Panthers,"Charleston, Illinois",1895,1912,1969,8626.0,IIAC
Illinois State University,Redbirds,"Normal, Illinois",1857,1908,1969,20706.0,IIAC
Western Illinois University,Leathernecks,"Macomb, Illinois",1899,1914,1969,7624.0,IIAC
Augustana College,Vikings,"Rock Island, Illinois",1860,1912,1936,2513.0,IIAC
Blackburn College,Beavers,"Carlinville, Illinois",1837,1914,1922,590.0,IIAC
Bradley University,Braves,"Peoria, Illinois",1897,1908,1936,5451.0,IIAC
Carthage College,Redmen[a],"Carthage, Illinois",1847,1912,1940,2374.0,IIAC
Eastern Michigan University,Hurons[b],"Ypsilanti, Michigan",1849,1950,1961,18838.0,IIAC
Elmhurst College,Pirates[d],"Elmhurst, Illinois",1871,1929,1940,2748.0,IIAC
Eureka College,Red Devils,"Eureka, Illinois",1855,1910,1941,680.0,IIAC
Hedding College,Orangemen,"Abingdon, Illinois",1855,1910,1925,,IIAC
Illinois College,Blueboys &Lady Blues,"Jacksonville, Illinois",1829,1908,1936,1105.0,IIAC
Illinois Wesleyan University,Titans,"Bloomington, Illinois",1850,1908,1936,2113.0,IIAC
Knox College,Prairie Fire,"Galesburg, Illinois",1837,1908,1936,1399.0,IIAC
Lake Forest College,Foresters,"Lake Forest, Illinois",1857,1919,1936,1395.0,IIAC
Lincoln College,Lynx,"Lincoln, Illinois",1865,1910,1927,800.0,IIAC
Lombard College,"Golden Tornado,Olive","Galesburg, Illinois",1853,1908,1928,,IIAC
McKendree College,Bearcats,"Lebanon, Illinois",1828,1912,1937,1702.0,IIAC
Millikin University,Big Blue,"Decatur, Illinois",1901,1908,1936,2118.0,IIAC
Monmouth College,Fighting Scots,"Monmouth, Illinois",1853,1908,1936,1300.0,IIAC
Mount Morris College,"Mountaineers,Mounders","Mount Morris, Illinois",1839,1922,1930,,IIAC
North Central College,Cardinals,"Naperville, Illinois",1861,1927,1936,2490.0,IIAC
Northern Illinois University,Huskies,"DeKalb, Illinois",1895,1920,1965,17169.0,IIAC
Shurtleff College,"Pioneers,Bison","Alton, Illinois",1827,1910,1936,,IIAC
Southern Illinois University Carbondale,"Maroons,Salukis","Carbondale, Illinois",1869,1913,1961,11695.0,IIAC
St. Viator College,"Irish,Green","Bourbonnais, Illinois",1865,1916,1937,,IIAC
Wheaton College,Crusaders[g],"Wheaton, Illinois",1860,1919,1936,2282.0,IIAC
